date,value,geo,nace_r2,s_adj,unit,indic_bt,loaded_at
2003-06-01,64.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2003-07-01,66.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2003-08-01,64.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2003-09-01,66.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2003-10-01,71.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2003-11-01,71.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2003-12-01,82.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-01-01,65.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-02-01,62.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-03-01,71.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-04-01,72.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-05-01,69.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-06-01,66.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-07-01,68.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-08-01,65.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-09-01,67.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-10-01,71.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-11-01,72.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2004-12-01,83.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-01-01,68.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-02-01,63.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-03-01,72.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-04-01,71.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-05-01,70.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-06-01,67.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-07-01,68.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-08-01,67.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-09-01,68.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-10-01,72.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-11-01,73.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2005-12-01,83.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-01-01,67.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-02-01,64.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-03-01,72.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-04-01,72.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-05-01,72.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-06-01,68.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-07-01,69.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-08-01,68.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-09-01,68.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-10-01,72.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-11-01,73.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2006-12-01,86.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-01-01,65.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-02-01,64.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-03-01,72.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-04-01,73.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-05-01,69.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-06-01,67.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-07-01,68.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-08-01,67.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-09-01,68.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-10-01,72.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-11-01,72.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2007-12-01,81.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-01-01,68.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-02-01,65.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-03-01,72.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-04-01,72.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-05-01,72.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-06-01,68.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-07-01,69.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-08-01,69.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-09-01,71.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-10-01,73.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-11-01,73.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2008-12-01,83.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-01-01,66.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-02-01,62.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-03-01,70.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-04-01,72.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-05-01,69.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-06-01,65.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-07-01,67.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-08-01,65.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-09-01,67.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-10-01,71.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-11-01,70.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2009-12-01,82.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-01-01,65.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-02-01,63.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-03-01,72.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-04-01,71.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-05-01,71.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-06-01,68.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-07-01,70.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-08-01,68.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-09-01,69.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-10-01,73.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-11-01,72.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2010-12-01,83.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-01-01,68.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-02-01,66.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-03-01,73.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-04-01,74.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-05-01,71.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-06-01,70.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-07-01,72.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-08-01,70.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-09-01,71.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-10-01,75.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-11-01,74.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2011-12-01,85.2,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-01-01,68.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-02-01,66.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-03-01,75.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-04-01,75.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-05-01,74.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-06-01,72.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-07-01,73.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-08-01,71.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-09-01,72.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-10-01,75.9,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-11-01,76.1,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2012-12-01,85.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-01-01,70.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-02-01,67.6,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-03-01,76.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-04-01,76.8,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-05-01,76.4,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-06-01,73.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-07-01,75.0,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-08-01,72.3,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-09-01,73.7,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
2013-10-01,76.5,DE,G47,CA,I21,NETTUR,2026-08-02T19:52:14.408588
